AL_EAXREVERB_DEFAULT_LATE_REVERB_DELAY              : 0.011f
AL_EAXREVERB_DEFAULT_LATE_REVERB_PAN_XYZ            : 0.0f
AL_EAXREVERB_MIN_ECHO_TIME                          : 0.075f
AL_EAXREVERB_MAX_ECHO_TIME                          : 0.25f
AL_EAXREVERB_DEFAULT_ECHO_TIME                      : 0.25f
AL_EAXREVERB_MIN_ECHO_DEPTH                         : 0.0f
AL_EAXREVERB_MAX_ECHO_DEPTH                         : 1.0f
AL_EAXREVERB_DEFAULT_ECHO_DEPTH                     : 0.0f
AL_EAXREVERB_MIN_MODULATION_TIME                    : 0.04f
AL_EAXREVERB_MAX_MODULATION_TIME                    : 4.0f
AL_EAXREVERB_DEFAULT_MODULATION_TIME                : 0.25f
AL_EAXREVERB_MIN_MODULATION_DEPTH                   : 0.0f
AL_EAXREVERB_MAX_MODULATION_DEPTH                   : 1.0f
AL_EAXREVERB_DEFAULT_MODULATION_DEPTH               : 0.0f
AL_EAXREVERB_MIN_AIR_ABSORPTION_GAINHF              : 0.892f
AL_EAXREVERB_MAX_AIR_ABSORPTION_GAINHF              : 1.0f
AL_EAXREVERB_DEFAULT_AIR_ABSORPTION_GAINHF          : 0.994f
AL_EAXREVERB_MIN_HFREFERENCE                        : 1000.0f
AL_EAXREVERB_MAX_HFREFERENCE                        : 20000.0f
AL_EAXREVERB_DEFAULT_HFREFERENCE                    : 5000.0f
AL_EAXREVERB_MIN_LFREFERENCE                        : 20.0f
AL_EAXREVERB_MAX_LFREFERENCE                        : 1000.0f
AL_EAXREVERB_DEFAULT_LFREFERENCE                    : 250.0f
AL_EAXREVERB_MIN_ROOM_ROLLOFF_FACTOR                : 0.0f
AL_EAXREVERB_MAX_ROOM_ROLLOFF_FACTOR                : 10.0f
AL_EAXREVERB_DEFAULT_ROOM_ROLLOFF_FACTOR            : 0.0f
AL_EAXREVERB_MIN_DECAY_HFLIMIT                      : 0
AL_EAXREVERB_MAX_DECAY_HFLIMIT                      : 1
AL_EAXREVERB_DEFAULT_DECAY_HFLIMIT                  : 1
AL_FILTER_TYPE                                      : 8001
AL_FILTER_NULL                                      : 0000
AL_FILTER_LOWPASS                                   : 0001
AL_FILTER_HIGHPASS                                  : 0002
AL_FILTER_BANDPASS                                  : 0003
AL_LOWPASS_GAIN                                     : 0001
AL_LOWPASS_GAINHF                                   : 0002
